what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378267908673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267910003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267916563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378267930234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267931546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267938856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378267943076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267958866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267977336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378267986326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268038078
opened,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1378268042968
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1378268043008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268066078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268078781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268082042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268148482
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1378268151197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268153318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268258260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268281410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268303422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268325355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268430258
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1378268432520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268459631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268585565
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1378268603150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268616470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268694039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378268704947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378269348337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378269350950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378269639567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378269727555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378271020108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378271128031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378271128841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378274382402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378274458111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378274461683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378274469779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378274471277
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378274502867
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1378274504723
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1378274506283
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1378274506330
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1378274506346
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1378275129309
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1378275129309
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1378275129309
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1378275129309
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1378275129309
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1378275129309
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1378275129309
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1378275129309
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1378275129309
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1378275129309
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1378275129309
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1378275129309
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1378275129309
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1378275129309
