what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269744713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1397269744728
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397269745945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269749798
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1397269750001
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1397269750001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269758113
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1397269758175
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1397269758191
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1397269758628
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1397269759252
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397269759548
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1397269765791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269767227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269767259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269769209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269777960
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1397269778974
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1397269778990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269786822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269786900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269788819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269792111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269811252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269813670
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1397269813701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269816743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269834433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269838957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269840096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1397269840112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269865899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269900446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269900649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269905969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269908309
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1397269908324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269910275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269910307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397269912241
