what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117481707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117490724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378117520442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117522330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117562484
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1378117577710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117579910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1378117579941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117592530
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1378117633121
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1378117640609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1378117645352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1378117648784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378117650422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117651748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117660593
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1378117662465
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1378117663448
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1378117664244
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1378117665041
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1378117665914
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1378117667522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117668942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378117675260
