0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/css/random_background.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/images/cduedu-1161-427.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:56 +0800] "GET /student/xsInfo.action HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:56 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:35:19 +0800] "POST /student/login.action HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:35:52 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:37:54 +0800] "POST /student/login.action HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:37:56 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:06 +0800] "POST /student/login.action HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:08 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:08 +0800] "GET /student/My97DatePicker/WdatePicker.js HTTP/1.1" 200 9247
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:08 +0800] "GET /student/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:09 +0800] "GET /student/xsInfo.action HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:11 +0800] "GET /student/addKcView.action HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:12 +0800] "GET /student/kcInfo.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:13 +0800] "GET /student/addXscjView.action HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:38:13 +0800] "GET /student/xscjInfo.action HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:21 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:23 +0800] "GET /student/xsInfo.action HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:23 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:23 +0800] "GET /student/xsInfo.action HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:24 +0800] "GET /student/addKcView.action HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:24 +0800] "GET /student/kcInfo.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:25 +0800] "GET /student/addXscjView.action HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:25 +0800] "GET /student/xscjInfo.action HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:25 +0800] "GET /student/addXscjView.action HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:26 +0800] "GET /student/kcInfo.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:26 +0800] "GET /student/addKcView.action HTTP/1.1" 200 1185
